"eucountry.eucountry_id";"eucountry.code";"eucountry.rate";"eucountry.status"
"1";"AT";"20.0000";"1";
"2";"BE";"21.0000";"1";
"3";"BG";"20.0000";"1";
"4";"CY";"19.0000";"1";
"5";"CZ";"21.0000";"1";
"6";"DE";"19.0000";"1";
"7";"DK";"25.0000";"1";
"8";"EE";"20.0000";"1";
"9";"ES";"21.0000";"1";
"10";"FI";"24.0000";"1";
"11";"FR";"20.0000";"1";
"12";"GB";"20.0000";"1";
"13";"GR";"23.0000";"1";
"14";"HR";"25.0000";"1";
"15";"HU";"27.0000";"1";
"16";"IE";"23.0000";"1";
"17";"IT";"22.0000";"1";
"18";"LV";"21.0000";"1";
"19";"LT";"21.0000";"1";
"20";"LU";"17.0000";"1";
"21";"MT";"18.0000";"1";
"22";"NL";"21.0000";"1";
"23";"PL";"23.0000";"1";
"24";"PT";"23.0000";"1";
"25";"RO";"24.0000";"1";
"26";"SE";"25.0000";"1";
"27";"SI";"22.0000";"1";
"28";"SK";"20.0000";"1";
