"country.country_id";"country.iso_code_2";"country.iso_code_3";"country.address_format";"country.postcode_required";"country.status"
"1";"AF";"AFG";;"0";"1";
"2";"AL";"ALB";;"0";"1";
"3";"DZ";"DZA";;"0";"1";
"4";"AS";"ASM";;"0";"1";
"5";"AD";"AND";;"0";"1";
"6";"AO";"AGO";;"0";"1";
"7";"AI";"AIA";;"0";"1";
"8";"AQ";"ATA";;"0";"1";
"9";"AG";"ATG";;"0";"1";
"10";"AR";"ARG";;"0";"1";
"11";"AM";"ARM";;"0";"1";
"12";"AW";"ABW";;"0";"1";
"13";"AU";"AUS";;"0";"1";
"14";"AT";"AUT";;"0";"1";
"15";"AZ";"AZE";;"0";"1";
"16";"BS";"BHS";;"0";"1";
"17";"BH";"BHR";;"0";"1";
"18";"BD";"BGD";;"0";"1";
"19";"BB";"BRB";;"0";"1";
"20";"BY";"BLR";;"0";"1";
"21";"BE";"BEL";"{firstname} {lastname}{company}{address_1}{address_2}{postcode} {city}{country}";"0";"1";
"22";"BZ";"BLZ";;"0";"1";
"23";"BJ";"BEN";;"0";"1";
"24";"BM";"BMU";;"0";"1";
"25";"BT";"BTN";;"0";"1";
"26";"BO";"BOL";;"0";"1";
"27";"BA";"BIH";;"0";"1";
"28";"BW";"BWA";;"0";"1";
"29";"BV";"BVT";;"0";"1";
"30";"BR";"BRA";;"0";"1";
"31";"IO";"IOT";;"0";"1";
"32";"BN";"BRN";;"0";"1";
"33";"BG";"BGR";;"0";"1";
"34";"BF";"BFA";;"0";"1";
"35";"BI";"BDI";;"0";"1";
"36";"KH";"KHM";;"0";"1";
"37";"CM";"CMR";;"0";"1";
"38";"CA";"CAN";;"0";"1";
"39";"CV";"CPV";;"0";"1";
"40";"KY";"CYM";;"0";"1";
"41";"CF";"CAF";;"0";"1";
"42";"TD";"TCD";;"0";"1";
"43";"CL";"CHL";;"0";"1";
"44";"CN";"CHN";;"0";"1";
"45";"CX";"CXR";;"0";"1";
"46";"CC";"CCK";;"0";"1";
"47";"CO";"COL";;"0";"1";
"48";"KM";"COM";;"0";"1";
"49";"CG";"COG";;"0";"1";
"50";"CK";"COK";;"0";"1";
"51";"CR";"CRI";;"0";"1";
"52";"CI";"CIV";;"0";"1";
"53";"HR";"HRV";;"0";"1";
"54";"CU";"CUB";;"0";"1";
"55";"CY";"CYP";;"0";"1";
"56";"CZ";"CZE";;"0";"1";
"57";"DK";"DNK";;"0";"1";
"58";"DJ";"DJI";;"0";"1";
"59";"DM";"DMA";;"0";"1";
"60";"DO";"DOM";;"0";"1";
"61";"TL";"TLS";;"0";"1";
"62";"EC";"ECU";;"0";"1";
"63";"EG";"EGY";;"0";"1";
"64";"SV";"SLV";;"0";"1";
"65";"GQ";"GNQ";;"0";"1";
"66";"ER";"ERI";;"0";"1";
"67";"EE";"EST";;"0";"1";
"68";"ET";"ETH";;"0";"1";
"69";"FK";"FLK";;"0";"1";
"70";"FO";"FRO";;"0";"1";
"71";"FJ";"FJI";;"0";"1";
"72";"FI";"FIN";;"0";"1";
"74";"FR";"FRA";"{firstname} {lastname}{company}{address_1}{address_2}{postcode} {city}{country}";"1";"1";
"75";"GF";"GUF";;"0";"1";
"76";"PF";"PYF";;"0";"1";
"77";"TF";"ATF";;"0";"1";
"78";"GA";"GAB";;"0";"1";
"79";"GM";"GMB";;"0";"1";
"80";"GE";"GEO";;"0";"1";
"81";"DE";"DEU";"{company}{firstname} {lastname}{address_1}{address_2}{postcode} {city}{country}";"1";"1";
"82";"GH";"GHA";;"0";"1";
"83";"GI";"GIB";;"0";"1";
"84";"GR";"GRC";;"0";"1";
"85";"GL";"GRL";;"0";"1";
"86";"GD";"GRD";;"0";"1";
"87";"GP";"GLP";;"0";"1";
"88";"GU";"GUM";;"0";"1";
"89";"GT";"GTM";;"0";"1";
"90";"GN";"GIN";;"0";"1";
"91";"GW";"GNB";;"0";"1";
"92";"GY";"GUY";;"0";"1";
"93";"HT";"HTI";;"0";"1";
"94";"HM";"HMD";;"0";"1";
"95";"HN";"HND";;"0";"1";
"96";"HK";"HKG";;"0";"1";
"97";"HU";"HUN";;"0";"1";
"98";"IS";"ISL";;"0";"1";
"99";"IN";"IND";;"0";"1";
"100";"ID";"IDN";;"0";"1";
"101";"IR";"IRN";;"0";"1";
"102";"IQ";"IRQ";;"0";"1";
"103";"IE";"IRL";;"0";"1";
"104";"IL";"ISR";;"0";"1";
"105";"IT";"ITA";;"0";"1";
"106";"JM";"JAM";;"0";"1";
"107";"JP";"JPN";;"0";"1";
"108";"JO";"JOR";;"0";"1";
"109";"KZ";"KAZ";;"0";"1";
"110";"KE";"KEN";;"0";"1";
"111";"KI";"KIR";;"0";"1";
"112";"KP";"PRK";;"0";"1";
"113";"KR";"KOR";;"0";"1";
"114";"KW";"KWT";;"0";"1";
"115";"KG";"KGZ";;"0";"1";
"116";"LA";"LAO";;"0";"1";
"117";"LV";"LVA";;"0";"1";
"118";"LB";"LBN";;"0";"1";
"119";"LS";"LSO";;"0";"1";
"120";"LR";"LBR";;"0";"1";
"121";"LY";"LBY";;"0";"1";
"122";"LI";"LIE";;"0";"1";
"123";"LT";"LTU";;"0";"1";
"124";"LU";"LUX";;"0";"1";
"125";"MO";"MAC";;"0";"1";
"126";"MK";"MKD";;"0";"1";
"127";"MG";"MDG";;"0";"1";
"128";"MW";"MWI";;"0";"1";
"129";"MY";"MYS";;"0";"1";
"130";"MV";"MDV";;"0";"1";
"131";"ML";"MLI";;"0";"1";
"132";"MT";"MLT";;"0";"1";
"133";"MH";"MHL";;"0";"1";
"134";"MQ";"MTQ";;"0";"1";
"135";"MR";"MRT";;"0";"1";
"136";"MU";"MUS";;"0";"1";
"137";"YT";"MYT";;"0";"1";
"138";"MX";"MEX";;"0";"1";
"139";"FM";"FSM";;"0";"1";
"140";"MD";"MDA";;"0";"1";
"141";"MC";"MCO";;"0";"1";
"142";"MN";"MNG";;"0";"1";
"143";"MS";"MSR";;"0";"1";
"144";"MA";"MAR";;"0";"1";
"145";"MZ";"MOZ";;"0";"1";
"146";"MM";"MMR";;"0";"1";
"147";"NA";"NAM";;"0";"1";
"148";"NR";"NRU";;"0";"1";
"149";"NP";"NPL";;"0";"1";
"150";"NL";"NLD";;"0";"1";
"151";"AN";"ANT";;"0";"1";
"152";"NC";"NCL";;"0";"1";
"153";"NZ";"NZL";;"0";"1";
"154";"NI";"NIC";;"0";"1";
"155";"NE";"NER";;"0";"1";
"156";"NG";"NGA";;"0";"1";
"157";"NU";"NIU";;"0";"1";
"158";"NF";"NFK";;"0";"1";
"159";"MP";"MNP";;"0";"1";
"160";"NO";"NOR";;"0";"1";
"161";"OM";"OMN";;"0";"1";
"162";"PK";"PAK";;"0";"1";
"163";"PW";"PLW";;"0";"1";
"164";"PA";"PAN";;"0";"1";
"165";"PG";"PNG";;"0";"1";
"166";"PY";"PRY";;"0";"1";
"167";"PE";"PER";;"0";"1";
"168";"PH";"PHL";;"0";"1";
"169";"PN";"PCN";;"0";"1";
"170";"PL";"POL";;"0";"1";
"171";"PT";"PRT";;"0";"1";
"172";"PR";"PRI";;"0";"1";
"173";"QA";"QAT";;"0";"1";
"174";"RE";"REU";;"0";"1";
"175";"RO";"ROM";;"0";"1";
"176";"RU";"RUS";;"0";"1";
"177";"RW";"RWA";;"0";"1";
"178";"KN";"KNA";;"0";"1";
"179";"LC";"LCA";;"0";"1";
"180";"VC";"VCT";;"0";"1";
"181";"WS";"WSM";;"0";"1";
"182";"SM";"SMR";;"0";"1";
"183";"ST";"STP";;"0";"1";
"184";"SA";"SAU";;"0";"1";
"185";"SN";"SEN";;"0";"1";
"186";"SC";"SYC";;"0";"1";
"187";"SL";"SLE";;"0";"1";
"188";"SG";"SGP";;"0";"1";
"189";"SK";"SVK";"{firstname} {lastname}{company}{address_1}{address_2}{city} {postcode}{zone}{country}";"0";"1";
"190";"SI";"SVN";;"0";"1";
"191";"SB";"SLB";;"0";"1";
"192";"SO";"SOM";;"0";"1";
"193";"ZA";"ZAF";;"0";"1";
"194";"GS";"SGS";;"0";"1";
"195";"ES";"ESP";;"0";"1";
"196";"LK";"LKA";;"0";"1";
"197";"SH";"SHN";;"0";"1";
"198";"PM";"SPM";;"0";"1";
"199";"SD";"SDN";;"0";"1";
"200";"SR";"SUR";;"0";"1";
"201";"SJ";"SJM";;"0";"1";
"202";"SZ";"SWZ";;"0";"1";
"203";"SE";"SWE";"{company}{firstname} {lastname}{address_1}{address_2}{postcode} {city}{country}";"1";"1";
"204";"CH";"CHE";;"0";"1";
"205";"SY";"SYR";;"0";"1";
"206";"TW";"TWN";;"0";"1";
"207";"TJ";"TJK";;"0";"1";
"208";"TZ";"TZA";;"0";"1";
"209";"TH";"THA";;"0";"1";
"210";"TG";"TGO";;"0";"1";
"211";"TK";"TKL";;"0";"1";
"212";"TO";"TON";;"0";"1";
"213";"TT";"TTO";;"0";"1";
"214";"TN";"TUN";;"0";"1";
"215";"TR";"TUR";;"0";"1";
"216";"TM";"TKM";;"0";"1";
"217";"TC";"TCA";;"0";"1";
"218";"TV";"TUV";;"0";"1";
"219";"UG";"UGA";;"0";"1";
"220";"UA";"UKR";;"0";"1";
"221";"AE";"ARE";;"0";"1";
"222";"GB";"UKM";"{firstname} {lastname}{company}{address_1}{address_2}{city}{zone}{postcode}{country}";"1";"1";
"223";"US";"USA";"{firstname} {lastname}{company}{address_1}{address_2}{city}, {zone} {postcode}{country}";"0";"1";
"224";"UM";"UMI";;"0";"1";
"225";"UY";"URY";;"0";"1";
"226";"UZ";"UZB";;"0";"1";
"227";"VU";"VUT";;"0";"1";
"228";"VA";"VAT";;"0";"1";
"229";"VE";"VEN";;"0";"1";
"230";"VN";"VNM";;"0";"1";
"231";"VG";"VGB";;"0";"1";
"232";"VI";"VIR";;"0";"1";
"233";"WF";"WLF";;"0";"1";
"234";"EH";"ESH";;"0";"1";
"235";"YE";"YEM";;"0";"1";
"237";"CD";"COD";;"0";"1";
"238";"ZM";"ZMB";;"0";"1";
"239";"ZW";"ZWE";;"0";"1";
"242";"ME";"MNE";;"0";"1";
"243";"RS";"SRB";;"0";"1";
"244";"AX";"ALA";;"0";"1";
"245";"BQ";"BES";;"0";"1";
"246";"CW";"CUW";;"0";"1";
"247";"PS";"PSE";;"0";"1";
"248";"SS";"SSD";;"0";"1";
"249";"BL";"BLM";;"0";"1";
"250";"MF";"MAF";;"0";"1";
"251";"IC";"ICA";;"0";"1";
"252";"AC";"ASC";;"0";"1";
"253";"XK";"UNK";;"0";"1";
"254";"IM";"IMN";;"0";"1";
"255";"TA";"SHN";;"0";"1";
"256";"JE";"JEY";;"1";"1";
"257";"GG";"GGY";;"1";"1";
"260";"SX";"SXM";;"0";"1";
"261";"EA";"EAF";;"0";"1";
"262";"GB";"ENG";"{firstname} {lastname}{company}{address_1}{address_2}{city}{zone}{postcode}{country}";"1";"1";
"263";"GB";"WLS";"{firstname} {lastname}{company}{address_1}{address_2}{city}{zone}{postcode}{country}";"1";"1";
"264";"GB";"NIR";"{firstname} {lastname}{company}{address_1}{address_2}{city}{zone}{postcode}{country}";"1";"1";
"265";"GB";"SCT";"{firstname} {lastname}{company}{address_1}{address_2}{city}{zone}{postcode}{country}";"1";"1";
