"eucountry_description.eucountry_id";"eucountry_description.language_id";"eucountry_description.eucountry";"eucountry_description.description"
"1";"1";"Austria";"VAT Rate AT";
"2";"1";"Belgium";"VAT Rate BE";
"3";"1";"Bulgaria";"VAT Rate BG";
"4";"1";"Cyprus";"VAT Rate CY";
"5";"1";"Czech Republic";"VAT Rate CZ";
"6";"1";"Germany";"VAT Rate DE";
"7";"1";"Denmark";"VAT Rate DK";
"8";"1";"Estonia";"VAT Rate EE";
"9";"1";"Spain";"VAT Rate ES";
"10";"1";"Finland";"VAT Rate FI";
"11";"1";"France";"VAT Rate FR";
"12";"1";"United Kingdom";"VAT Rate GB";
"13";"1";"Greece";"VAT Rate GR";
"14";"1";"Croatia";"VAT Rate HR";
"15";"1";"Hungary";"VAT Rate HU";
"16";"1";"Ireland";"VAT Rate IE";
"17";"1";"Italy";"VAT Rate IT";
"18";"1";"Latvia";"VAT Rate LV";
"19";"1";"Lithuania";"VAT Rate LT";
"20";"1";"Luxembourg";"VAT Rate LU";
"21";"1";"Malta";"VAT Rate MT";
"22";"1";"Netherlands";"VAT Rate NL";
"23";"1";"Poland";"VAT Rate PL";
"24";"1";"Portugal";"VAT Rate PT";
"25";"1";"Romania";"VAT Rate RO";
"26";"1";"Sweden";"VAT Rate SE";
"27";"1";"Slovenia";"VAT Rate SI";
"28";"1";"Slovakia";"VAT Rate SK";
